data_quality_score,forecast_data_source,forecast_heat_index,forecast_humidity,forecast_max_temp,forecast_min_temp,forecast_precipitation_probability,forecast_temp,forecast_weather_code,forecast_wind_speed,match_id
85,Open-Meteo Forecast API,32.3,70,29.7,22.6,9,28.8,3,9.4,M091
85,Open-Meteo Forecast API,21.0,51,22.2,13.1,80,21.0,51,7.4,M092
85,Open-Meteo Forecast API,36.3,32,36.9,22.8,8,36.3,0,3.3,M093
85,Open-Meteo Forecast API,26.5,37,26.8,12.1,0,26.5,3,13.3,M094
85,Open-Meteo Forecast API,35.0,33,36.0,22.6,26,35.0,3,16.2,M095
85,Open-Meteo Forecast API,20.8,48,21.1,13.5,2,20.8,3,9.0,M096
85,Open-Meteo Forecast API,31.4,38,31.6,15.8,5,31.4,0,16.9,M097
85,Open-Meteo Forecast API,26.96,45,26.8,20.7,0,26.8,0,16.2,M098
85,Open-Meteo Forecast API,39.75,44,35.7,28.4,28,35.6,2,26.0,M099
85,Open-Meteo Forecast API,33.2,44,32.1,18.6,8,32.1,0,7.9,M100
85,Open-Meteo Forecast API,40.0,24,40.5,27.9,2,40.0,0,8.0,M101
85,Open-Meteo Forecast API,38.1,28,38.4,26.8,10,38.1,2,21.4,M102
85,Open-Meteo Forecast API,36.71,44,34.1,29.6,34,34.1,0,22.7,M103
85,Open-Meteo Forecast API,21.0,88,26.1,21.0,18,21.0,51,4.7,M104
